78015_0571_00001;78015_0571;1;;Allee du Parisis;78570;78015;Andrésy;;;630933.97;6876986.13;2.056287;48.98909;;;ANDRESY;ALLEE DU PARISIS;inconnue;inconnue
78015_0571_00002;78015_0571;2;;Allee du Parisis;78570;78015;Andrésy;;;630929.41;6876996.08;2.056223;48.989179;;;ANDRESY;ALLEE DU PARISIS;inconnue;inconnue
78015_0571_00003;78015_0571;3;;Allee du Parisis;78570;78015;Andrésy;;;630923.42;6876991.04;2.056142;48.989133;;;ANDRESY;ALLEE DU PARISIS;inconnue;inconnue
78015_0571_00004;78015_0571;4;;Allee du Parisis;78570;78015;Andrésy;;;630924.49;6877001.59;2.056155;48.989228;;;ANDRESY;ALLEE DU PARISIS;inconnue;inconnue
78015_0571_00005;78015_0571;5;;Allee du Parisis;78570;78015;Andrésy;;;630919.07;6876995.1;2.056082;48.989169;;;ANDRESY;ALLEE DU PARISIS;inconnue;inconnue
78015_0571_00006;78015_0571;6;;Allee du Parisis;78570;78015;Andrésy;;;630922.2;6876999.4;2.056124;48.989208;;;ANDRESY;ALLEE DU PARISIS;inconnue;inconnue
78015_0571_00007;78015_0571;7;;Allee du Parisis;78570;78015;Andrésy;;;630919.09;6876996.65;2.056082;48.989183;;;ANDRESY;ALLEE DU PARISIS;inconnue;inconnue
78015_0472_00001;78015_0472;1;;Allee du Maine;78570;78015;Andrésy;;;630878.41;6877254.61;2.055484;48.991498;;;ANDRESY;ALLEE DU MAINE;inconnue;inconnue
78015_0472_00002;78015_0472;2;;Allee du Maine;78570;78015;Andrésy;;;630878.48;6877254.38;2.055485;48.991496;;;ANDRESY;ALLEE DU MAINE;inconnue;inconnue
78015_0472_00003;78015_0472;3;;Allee du Maine;78570;78015;Andrésy;;;630881.11;6877247.79;2.055522;48.991437;;;ANDRESY;ALLEE DU MAINE;inconnue;inconnue
78015_0472_00004;78015_0472;4;;Allee du Maine;78570;78015;Andrésy;;;630876.24;6877244.18;2.055456;48.991404;;;ANDRESY;ALLEE DU MAINE;inconnue;inconnue
78015_0472_00005;78015_0472;5;;Allee du Maine;78570;78015;Andrésy;;;630872.51;6877244.78;2.055405;48.991409;;;ANDRESY;ALLEE DU MAINE;inconnue;inconnue
78015_0472_00006;78015_0472;6;;Allee du Maine;78570;78015;Andrésy;;;630870.6;6877250.03;2.055378;48.991456;;;ANDRESY;ALLEE DU MAINE;inconnue;inconnue
78015_0700_00001;78015_0700;1;;Passage de Smeth;78570;78015;Andrésy;;;631971.43;6877057.24;2.07045;48.98984;;;ANDRESY;PASSAGE DE SMETH;inconnue;inconnue
78015_0700_00003;78015_0700;3;;Passage de Smeth;78570;78015;Andrésy;;;631956.97;6877047.4;2.070254;48.98975;;;ANDRESY;PASSAGE DE SMETH;inconnue;inconnue
